date,ccy,term,rate,direction,pnl,close_date
2020-09-01,chf,9Y1Y,-0.0033072369651216843,1,-16200.29755481139,2020-10-01
2020-10-01,chf,4Y1Y,-0.46481450563747456,-1,19123.77365168813,2020-11-02
2020-10-01,chf,6Y1Y,-0.2328887253625823,-1,-18507.544584796033,2020-11-02
2020-10-01,chf,4Y3Y,-0.3562249728300611,-1,-2243.9629850941055,2020-11-02
2020-10-01,chf,9Y1Y,-0.03253987535890735,1,15579.866797676104,2020-11-02
2020-10-01,chf,1Y2Y,-0.7386204843009705,1,-8387.751551059864,2020-11-02
2020-10-01,chf,1Y1Y,-0.766999999735173,1,-14171.498901052626,2020-11-02
2020-11-02,chf,6Y1Y,-0.18239902479161832,-1,-15415.99998615148,2020-12-01
2020-11-02,chf,5Y2Y,-0.26392349636022344,-1,-21003.362455338556,2020-12-01
2020-11-02,chf,5Y1Y,-0.3457664672922419,-1,-26696.12022913187,2020-12-01
2020-11-02,chf,9Y1Y,0.0033759279535784765,1,25166.05363258186,2020-12-01
2020-11-02,chf,1Y2Y,-0.7511046091965783,1,26545.666556257784,2020-12-01
2020-11-02,chf,1Y1Y,-0.7919438325626668,1,27342.590320251104,2020-12-01
2020-12-01,chf,6Y1Y,-0.139313322123366,-1,42289.28617578272,2021-01-04
2020-12-01,chf,4Y1Y,-0.3877131136747522,-1,20142.07130322554,2021-01-04
2020-12-01,chf,3Y2Y,-0.45788803604867323,-1,17641.221699814138,2021-01-04
2020-12-01,chf,2Y1Y,-0.6536186185258864,1,-8999.455192128748,2021-01-04
2020-12-01,chf,8Y2Y,0.03112846678691063,1,-10200.2102750838,2021-01-04
2020-12-01,chf,9Y1Y,0.05854335992445914,1,-4671.617276454324,2021-01-04
2021-01-04,chf,4Y1Y,-0.4165991119754699,-1,-21298.918027782915,2021-02-01
2021-01-04,chf,7Y1Y,-0.08880688481890989,-1,-74446.33923356963,2021-02-01
2021-01-04,chf,3Y2Y,-0.48254805811234597,-1,-18244.323161168195,2021-02-01
2021-01-04,chf,1Y1Y,-0.751022826436476,1,-7938.537309652105,2021-02-01
2021-01-04,chf,1Y2Y,-0.7091758519858193,1,384.0836979875917,2021-02-01
2021-01-04,chf,2Y1Y,-0.6676131236929183,1,8655.115795888236,2021-02-01
2021-02-01,chf,5Y1Y,-0.18754188485832615,-1,-110663.74343983579,2021-03-01
2021-02-01,chf,4Y2Y,-0.2747476545668554,-1,-109103.99188718852,2021-03-01
2021-02-01,chf,3Y3Y,-0.3529506381742253,-1,-100811.46693694279,2021-03-01
2021-02-01,chf,1Y1Y,-0.7609845830102197,1,51366.89963374868,2021-03-01
2021-02-01,chf,8Y2Y,0.18184012199201946,1,155680.3702512487,2021-03-01
