point,t1,t2,aud,cad,nok,eur,gbp,jpy,nzd,sek,usd
17y13y,17,30,4.043295499684692,3.1679190754562616,2.539013215294002,2.0161171822623802,3.720724026117825,2.009378415376977,4.73941065970633,1.9213341970466264,3.284258443511202
18y1y,18,19,4.375377907888713,3.5720329340698007,2.8664811262460583,2.288743584632107,3.8555858651666775,2.1513396249415986,4.811730848983516,2.201496841581708,3.5948834865972397
18y2y,18,20,4.334515111443977,3.522803900347199,2.829534744872451,2.2480644766382167,3.843221746257851,2.146033520811732,4.8158751686552685,2.155563810221366,3.5588487137666247
18y3y,18,21,4.293606092201242,3.4706041340598306,2.793353365851123,2.211785184478545,3.8319225202610516,2.132451818263694,4.821628988907194,2.11102599517248,3.519770718105517
18y4y,18,22,4.253489206333196,3.4187224611756073,2.75794244583272,2.1783095942737396,3.8204535347875357,2.1152640000343044,4.82566228157185,2.0693817366976526,3.4806099655674694
18y5y,18,23,4.214862813576047,3.3690887435807815,2.723389226086228,2.147158013368106,3.808291021270123,2.096822533910806,4.826300740427871,2.031721777723032,3.4429833266251326
18y6y,18,24,4.1783568956431125,3.32296760534033,2.68982106776456,2.1183977769543225,3.795259383932368,2.078345499410801,4.822680947925864,1.9989373300131823,3.4078496606243505
18y7y,18,25,4.144582156675105,3.281434114534936,2.6573768629524377,2.0922526388861717,3.7812824931974314,2.060726896890964,4.814171126156307,1.9718627494658647,3.37597996145219
18y8y,18,26,4.113843785885059,3.2449742712912606,2.6260787339379967,2.068738270575706,3.7664346621519034,2.044611918115402,4.800781184807621,1.9506860921677003,3.3477006285012245
18y9y,18,27,4.085433525504208,3.212288040588613,2.595540608601461,2.046993169228919,3.751189774365387,2.0301609111357424,4.784437600651862,1.9334701541218844,3.322040046323979
18y10y,18,28,4.058723957618873,3.1822026393402423,2.565410679182001,2.026242354265083,3.7359987245064112,2.0175426599610766,4.766932376296442,1.9184456042893099,3.298114388447224
18y11y,18,29,4.0333321184398825,3.153962613535403,2.535437112722182,2.0059371029162576,3.721223934709758,2.0070160533541728,4.749611689338018,1.904354238833612,3.27533892707501
18y12y,18,30,4.009017649680734,3.127055946955383,2.5054263761818882,1.985660652865542,3.707176240441592,1.9988925450956472,4.733561691683238,1.890235996459837,3.2533034041474
